English	English	Synonym	Synonym	Synonym	Synonym	Russian	Russian	Russian	Russian	Russian	Synonym	Synonym	Synonym	Definition	Compare	See_also	See_also	See_also
abscess						абсцесс													
absorptive capacity						способность страны-реципиента эффективно использовать внешнюю помощь													
accelerated degradation test						тест ускоренной деградации								Испытание вакцины на стабильность.					
Accelerated Development and Introduction Plans						Планы ускоренной разработки и внедрения													
Accelerated Disease Control						Активизация борьбы с болезнями								Стратегии для ускорения темпов борьбы с определенными инфекционными болезнями.					
accellular pertussis vaccine						бесклеточная (ацеллюлярная) коклюшная вакцина								Вакцина, содержащая очищенные инактивированные компоненты клеток В.pertussis.					
acceptable risk						приемлемый риск	приемлемая степень риска												
accreditation						аккредитация (лаборатории)								Процесс инспектирования лабораторий с целью подтверждения их соответствия определенным критериям.					
accuracy						точность	правильность												
acquired immunity		adaptive immunity				приобретенный иммунитет								Иммунитет, развившийся либо в ответ на воздействие естественного или искусственного антигена, либо в результате введения в организм иммунных сывороточных препаратов.					
acquired immunodeficiency syndrome						синдром приобретенного иммунодефицита													
active immunity						активный иммунитет								Иммунитет, развившийся в результате воздействия естественного или искусственного антигена (возбудителя инфекции или вакцины).					
active immunization						активная иммунизация								Введение медицинских иммунобиологических препаратов в организм с целью создания невосприимчивости к инфекционным болезням.					
active surveillance						активный эпиднадзор													
acute flaccid paralysis						острый вялый паралич								Синдром, который возникает при полиомиелите и ряде других заболеваний, например, при синдроме Гийена-Барре.					
acute (viral) hepatitis						острый (вирусный) гепатит													
adequate clinical specimens						адекватно собранные пробы клинического материала													
adequate stool specimens						адекватно собранные пробы стула								При эпиднадзоре за ОВП пробы стула, собранные в соответствии с требованиями.					
adjuvant						адъювант								Вещество, применяемое в комплексе с искусственным антигеном для усиления действия иммунобиологического препарата.					
administration of vaccine						введение вакцины										vaccine administration (введение вакцины).			
adsorbed (toxoid)						адсорбированный (анатоксин)								Токсин, очищенный и ослабленный специальным методом, адсорбированный на адъюванте для усиления иммуногенных свойств.					
